 the iv  	 sayang oov
 tahun iv  	 menyalahkan iv
 saya oov  	 saya oov
 . iv  	 . iv
 ya iv  	 ya iv
 saya oov  	 saya oov
 tidak oov  	 tidak oov
 bisa iv  	 bisa iv
 apa iv  	 apa-apa oov
 . iv  	 . iv
 padahal iv  	 padahal iv
 kamu oov  	 kamu oov
 cuma iv  	 cuma iv
 lihat oov  	 lihat oov
 bulannya iv  	 luarnya iv
 saja oov  	 saja oov
 . iv  	 . iv
 tapi iv  	 tapi iv
 langsung iv  	 langsung iv
 dengan iv  	 ngejudge iv
 . iv  	 . iv
 mending iv  	 mending iv
 saya oov  	 saya oov
 it iv  	 tarik iv
 cannot iv  	 napas iv
 yang iv  	 yang iv
 panjang iv  	 panjang iv
 saja oov  	 saja oov
 deh iv  	 deh iv
 . iv  	 . iv
 that iv  	 huft iv
 bang iv  	 bang iv
 sandi iv  	 sandi iv
 saya iv  	 saya iv
 hanya iv  	 hanya iv
 mau iv  	 mau iv
 not iv  	 mengingatkan iv
 you iv  	 bahwa iv
 debat iv  	 debat iv
 malam iv  	 malam iv
 nanti iv  	 nanti iv
 , iv  	 , iv
 bang iv  	 bang iv
 sandi iv  	 sandi iv
 pakai iv  	 menghadapi iv
 seorang iv  	 seorang iv
 stories iv  	 politisi iv
 dan iv  	 dan iv
 bukan iv  	 bukan iv
 kedua iv  	 ketua iv
 mui iv  	 mui iv
 yang iv  	 yang iv
 pikir iv  	 kiyai iv
 . iv  	 . iv
 do iv  	 do iv
 not iv  	 not iv
 mbak iv  	 make iv
 your iv  	 your iv
 not iv  	 supporters iv
 be iv  	 be iv
 the stories oov  	 dissapointed iv
 ! iv  	 ! iv
 i have oov  	 i have oov
 benar iv  	 learned iv
 something iv  	 something iv
 . iv  	 . iv
 di iv  	 di iv
 balik iv  	 balik iv
 untuk iv  	 ungkapan iv
 sekarang iv  	 seseorang iv
 " iv  	 " iv
 deh iv  	 ah iv
 , iv  	 , iv
 sudah oov  	 sudah oov
 biasa iv  	 biasa iv
 itu iv  	 itu iv
 mah iv  	 mah iv
 . iv  	 . iv
 " iv  	 " iv
 the stories oov  	 tersimpan iv
 " iv  	 " iv
 well iv  	 well iv
 , iv  	 , iv
 i am oov  	 i am oov
 done iv  	 done iv
 . iv  	 . iv
 " iv  	 " iv
 but iv  	 entahlah iv
 , iv  	 , iv
 menurut iv  	 menurut iv
 saya oov  	 saya oov
 setiap iv  	 setiap iv
 di iv  	 individu iv
 punya iv  	 punya iv
 menemukan iv  	 kemampuan iv
 untuk iv  	 intelektual iv
 yang iv  	 yang iv
 be iv  	 berbeda-beda iv
 dan iv  	 dan iv
 tidak oov  	 tidak oov
 bisa iv  	 bisa iv
 not iv  	 diukur iv
 dengan iv  	 dengan iv
 satu iv  	 satu iv
 the stories iv  	 quantified iv
 standard iv  	 standard iv
 yang iv  	 yang iv
 sama iv  	 sama iv
 . iv  	 . iv
 just iv  	 just iv
 because iv  	 because iv
 a iv  	 a iv
 person iv  	 person iv
 it is oov  	 is not oov
 good iv  	 good iv
 at iv  	 at iv
 mah iv  	 math iv
 , iv  	 , iv
 does not iv  	 does iv
 not iv  	 not iv
 mean iv  	 mean iv
 they are oov  	 they are oov
 stories iv  	 stupid iv
 pak iv  	 per iv
 of iv  	 se iv
 . iv  	 . iv
 tapi iv  	 tapi iv
 dapat iv  	 sistem iv
 the oov  	 pendidikan iv
 yang iv  	 yang iv
 sekarang iv  	 sekarang iv
 seperti oov  	 seperti oov
 begitu oov  	 begitu oov
 kan iv  	 kan iv
 ? iv  	 ? iv
 well iv  	 well iv
 , iv  	 , iv
 just iv  	 just iv
 the not oov  	 trying oov
 be iv  	 be iv
 the not iv  	 honest iv
 sih iv  	 sih iv
 . iv  	 . iv
 hehe iv  	 hehe iv
 . iv  	 . iv
 dari iv  	 daripada oov
 paksa oov  	 maksa iv
 bilang iv  	 bilang iv
 " iv  	 " iv
 i iv  	 i iv
 karena oov  	 knew iv
 it iv  	 it iv
 , iv  	 , iv
 not iv  	 amber iv
 dari oov  	 dari oov
 dulu iv  	 dulu iv
 not iv  	 mencurigakan iv
 ! iv  	 ! iv
 " iv  	 " iv
 seperti oov  	 seperti oov
 yang iv  	 yang iv
 lagi iv  	 lagi iv
 when iv  	 ramai oov
 well iv  	 well iv
 tidak apa-apa oov  	 tidak apa-apa oov
 dah iv  	 dah iv
 gagal iv  	 gagal iv
 jadi iv  	 jadi iv
 anak iv  	 anak iv
 kelihatan iv  	 keamanan iv
 , iv  	 , iv
 yang oov  	 yang oov
 penting iv  	 penting iv
 sekarang oov  	 sekarang oov
 bisa iv  	 bisa iv
 ikut iv  	 ikut iv
 sekadar iv  	 sekdan iv
 ~ iv  	 ~ iv
 mungkin iv  	 mungkin iv
 the stories oov  	 badannya iv
 memang oov  	 memang oov
 lagi iv  	 lagi iv
 butuh iv  	 butuh iv
 stories iv  	 istirahat iv
 . iv  	 . iv
 ini iv  	 hope iv
 you iv  	 you iv
 are iv  	 are iv
 well iv  	 well iv
 . iv  	 . iv
 siap iv  	 siap iv
 2 iv  	 2 iv
 hari iv  	 hari iv
 not iv  	 berturut-turut oov
 mau iv  	 zumba iv
 lain iv  	 lagi oov
 i iv  	 i iv
 not iv  	 noticed iv
 ! iv  	 ! iv
 bagus iv  	 bagus iv
 the stories iv  	 suaranya iv
 . iv  	 . iv
 seru iv  	 seru iv
 kok iv  	 kok iv
 , iv  	 , iv
 akhirnya iv  	 akhirnya iv
 ( iv  	 ( iv
 well iv  	 well iv
 sejak iv  	 sejak iv
 when iv  	 2017 iv
 sih iv  	 sih iv
 ) iv  	 ) iv
 dengan iv  	 merekam oov
 not iv  	 podcast iv
 tidak oov  	 tidak oov
 the stories iv  	 sulit-sulit iv
 mana iv  	 amat iv
 not iv  	 hoho iv
 not iv  	 not iv
 good iv  	 good iv
 , iv  	 , iv
 not iv  	 not iv
 good iv  	 good iv
 . iv  	 . iv
 memang iv  	 maag iv
 saya oov  	 saya oov
 selalu iv  	 selalu iv
 tahun iv  	 kambuh iv
 sejak iv  	 sejak iv
 kerja iv  	 kerja iv
 di iv  	 di iv
 sini iv  	 sini iv
 . iv  	 . iv
 stories iv  	 stres oov
 dari iv  	 dari iv
 sebelum iv  	 semalam oov
 tahu oov  	 tahu oov
 lagi iv  	 lagi iv
 masih iv  	 emosi iv
 mau iv  	 mau iv
 but iv  	 buka iv
 ig iv  	 ig iv
 tidak oov  	 tidak oov
 bisa iv  	 bisa iv
 , iv  	 , iv
 mau iv  	 mau iv
 hapus iv  	 hapus iv
 something iv  	 something iv
 di iv  	 di iv
 fb iv  	 fb iv
 doi iv  	 doi iv
 tidak oov  	 tidak oov
 bisa iv  	 bisa iv
 , iv  	 , iv
 di iv  	 ditambah iv
 the stories iv  	 whatsapp iv
 mau iv  	 mau iv
 i will iv  	 kirim iv
 not iv  	 gambar iv
 susah iv  	 susah iv
 when iv  	 nemen iv
 . iv  	 . iv
 pernah iv  	 parah iv
 baru iv  	 baru iv
 sempat oov  	 sempat oov
 when iv  	 nerusin iv
 it iv  	 unpacking iv
 lagi oov  	 lagi oov
 , iv  	 , iv
 a iv  	 a iv
 video iv  	 variety iv
 of iv  	 of iv
 not iv  	 tupiem iv
 dengan iv  	 related iv
 because iv  	 pouches iv
 lol iv  	 lol iv
 kamu oov  	 kamu oov
 bilang iv  	 bilang iv
 sangat iv  	 sayang iv
 sama oov  	 sama oov
 saya oov  	 saya oov
 . iv  	 . iv
 tapi iv  	 tapi iv
 kamu oov  	 kamu oov
 nih iv  	 memilih oov
 ingin iv  	 pergi iv
 sama iv  	 sama iv
 dia iv  	 dia iv
 . iv  	 . iv
 so iv  	 so iv
 , iv  	 , iv
 is iv  	 which iv
 one iv  	 one iv
 up iv  	 should iv
 i iv  	 i iv
 believe iv  	 believe iv
 ? iv  	 ? iv
 i am oov  	 i am oov
 back iv  	 back iv
 . iv  	 . iv
 * iv  	 * iv
 the stories oov  	 sukalupapunyatweeter iv
 duh iv  	 duh iv
 is iv  	 chelsea iv
 it iv  	 favorite oov
 . iv  	 . iv
 tapi iv  	 tapi iv
 lagi iv  	 lagi iv
 down iv  	 down iv
 . iv  	 . iv
 not iv  	 anjir oov
 apalagi iv  	 apalagi iv
 kalau oov  	 kalau oov
 when iv  	 hazar iv
 out iv  	 out iv
 dari iv  	 dari iv
 is iv  	 chelsea iv
 okay oov  	 oke oov
 salah iv  	 salah iv
 . iv  	 . iv
 orang iv  	 falling iv
 in iv  	 in iv
 love iv  	 love iv
 with iv  	 with iv
 people iv  	 people iv
 we iv  	 we iv
 cannot oov  	 cannot oov
 have iv  	 have iv
 . iv  	 . iv
 ketinggalan iv  	 ketinggalan iv
 begitu oov  	 t iv
 nya iv  	 nya iv
 wkwkwk iv  	 wkwkwk iv
 cara iv  	 cara iv
 that iv  	 classic iv
 oke iv  	 wkek iv
 langsung iv  	 kesimpulan iv
 hidup iv  	 hidup iv
 sampai iv  	 sampai iv
 hari iv  	 hari iv
 ini iv  	 ini iv
 : iv  	 : iv
 the iv  	 very iv
 the oov  	 unpredictable iv
 and iv  	 and iv
 the not oov  	 unexpected iv
 . iv  	 . iv
 makanya iv  	 makanya iv
 jangan iv  	 jangan iv
 percaya iv  	 percaya iv
 sama iv  	 sama iv
 the not iv  	 fortune iv
 iv  	 teller iv
 , iv  	 , iv
 no iv  	 no iv
 one iv  	 one iv
 dulu iv  	 knows iv
 what is oov  	 what is oov
 going to oov  	 going to oov
 dengan iv  	 happen iv
 to iv  	 next iv
 not iv  	 amin oov
 not iv  	 amin oov
 ya iv  	 ya iv
 allah iv  	 allah iv
 , iv  	 , iv
 allah iv  	 allah iv
 suka iv  	 suka iv
 sangat oov  	 sangat oov
 sama iv  	 sama iv
 orang oov  	 orang oov
 yang oov  	 yang oov
 itu iv  	 berusaha iv
 dan iv  	 dan iv
 there iv  	 berserah iv
 diri iv  	 diri iv
 . iv  	 . iv
 you iv  	 you iv
 the stories oov  	 did iv
 well iv  	 well iv
 ! iv  	 ! iv
 kamu iv  	 kamu iv
 pasti iv  	 pasti iv
 bisa iv  	 bisa iv
 nder iv  	 nder iv
 , iv  	 , iv
 percaya iv  	 percaya iv
 sama iv  	 sama iv
 diri iv  	 diri iv
 kamu iv  	 kamu iv
 sendiri iv  	 sendiri iv
 itu iv  	 itu iv
 the stories oov  	 kuncinya iv
 . iv  	 . iv
 kalau oov  	 kalau oov
 the stories iv  	 seandainya iv
 belum iv  	 belum iv
 not iv  	 rezeki iv
 kamu iv  	 kamu iv
 tentang iv  	 tenang oov
 masih oov  	 masih oov
 banyak iv  	 banyak iv
 jalan iv  	 jalan iv
 yang oov  	 yang oov
 bagus iv  	 bagus iv
 untuk oov  	 untuk oov
 not iv  	 dilalui iv
 , iv  	 , iv
 semangat iv  	 semangat oov
 well iv  	 well iv
 done iv  	 done iv
 dengan oov  	 dek iv
 mau iv  	 ^^ iv
 nih iv  	 naw iv
 mau iv  	 mumpung iv
 ada iv  	 ada iv
 waktu iv  	 waktu iv
 langsung oov  	 jalan-jalan oov
 dulu iv  	 dulu iv
 sebenarnya iv  	 bisa oov
 si iv  	 si iv
 of iv  	 [ iv
 ] iv  	 ] iv
 i iv  	 i iv
 langsung iv  	 also iv
 have iv  	 have iv
 a iv  	 a iv
 sepertinya iv  	 surprise iv
 for iv  	 for iv
 you iv  	 you iv
 sangat iv  	 tonight iv
 ! iv  	 ! iv
 pikir iv  	 kira-kira oov
 sepertinya iv  	 surprise iv
 nya iv  	 nya iv
 apa iv  	 apa iv
 you iv  	 hayoo oov
 ? iv  	 ? iv
 well iv  	 well iv
 said iv  	 said iv
 . iv  	 . iv
 semua iv  	 semua iv
 tahu oov  	 tahu oov
 siapa iv  	 siapa iv
 yang oov  	 yang oov
 salah iv  	 salah iv
 kok iv  	 kok iv
 tetap iv  	 tetap oov
 semangat iv  	 semangat oov
 the stories iv  	 shout-out iv
 to iv  	 to iv
 all iv  	 all iv
 my iv  	 my iv
 not iv  	 juventini iv
 the iv  	 friend iv
 . iv  	 . iv
 well iv  	 well iv
 not iv  	 deserved iv
 . iv  	 . iv
 semoga iv  	 semoga iv
 tim iv  	 tim iv
 kita iv  	 kita iv
 ketemu iv  	 bertemu iv
 lagi iv  	 lagi iv
 . iv  	 . iv
 tiba-tiba oov  	 tiba-tiba oov
 semester iv  	 semester iv
 when iv  	 enam-ku iv
 di iv  	 dipenuhi iv
 dengan iv  	 dengan iv
 not iv  	 tawaran iv
 soal iv  	 social iv
 not iv  	 project iv
 , iv  	 , iv
 . iv  	 . iv
 dan iv  	 dan iv
 the stories oov  	 anehnya iv
 saya iv  	 saya iv
 sangat iv  	 sangat iv
 langsung iv  	 bersemangat iv
 dengan iv  	 dengan iv
 the not oov  	 adanya iv
 not iv  	 project iv
 ini iv  	 ini iv
 padahal iv  	 padahal iv
 belum oov  	 belum oov
 iv  	 tentu iv
 when iv  	 kepilih iv
 . iv  	 . iv
 on iv  	 oh iv
 , iv  	 , iv
 i iv  	 i iv
 ini iv  	 hope iv
 this iv  	 this iv
 indonesia iv  	 ends iv
 well iv  	 well iv
 juga iv  	 jauh iv
 sebelum iv  	 sebelum iv
 itu iv  	 itu iv
 , iv  	 , iv
 mana iv  	 menurut oov
 saya iv  	 saya iv
 not iv  	 pencegahan iv
 jatuh iv  	 jauh oov
 lebih oov  	 lebih oov
 penting iv  	 penting iv
 . iv  	 . iv
 well iv  	 well iv
 , iv  	 , iv
 i iv  	 i iv
 do not oov  	 do not oov
 know iv  	 know iv
 , iv  	 , iv
 tapi oov  	 tapi oov
 the stories iv  	 harusnya oov
 bagus iv  	 bpjs iv
 iya iv  	 punya oov
 dana iv  	 dana iv
 untuk oov  	 untuk oov
 sangat iv  	 peningkatan iv
 oke iv  	 kualitas iv
 kesehatan iv  	 kesehatan iv
 masyarakat iv  	 masyarakat iv
 , iv  	 , iv
 tentang iv  	 tentang oov
 sekadar iv  	 kesadaran iv
 untuk oov  	 untuk oov
 because iv  	 beraktivitas iv
 is oov  	 sht iv
 , iv  	 , iv
 makan iv  	 makan iv
 is oov  	 sht iv
 , iv  	 , iv
 karena iv  	 kerja oov
 is oov  	 sht iv
 and oov  	 and oov
 man iv  	 aman iv
 , iv  	 , iv
 dll iv  	 dll iv
 . iv  	 . iv
 karena oov  	 karena oov
 sebenarnya oov  	 sebenarnya oov
 the stories oov  	 penyakit iv
 lelah iv  	 health iv
 the stories oov  	 insurance iv
 ya iv  	 ya iv
 the stories oov  	 tingginya iv
 nanti iv  	 nilai iv
 . iv  	 . iv
 some iv  	 some iv
 of iv  	 of iv
 us iv  	 us iv
 kali iv  	 kali iv
 lebih iv  	 lebih iv
 the stories oov  	 tepatnya iv
 . iv  	 . iv
 soalnya iv  	 soalnya iv
 oov  	 teman-teman oov
 saya oov  	 saya oov
 bapak oov  	 baik-baik oov
 saja oov  	 saja oov
 sama iv  	 sama iv
 saya oov  	 saya oov
 tetap oov  	 tetap oov
 main iv  	 main iv
 not oov  	 ngajak iv
 makan iv  	 makan iv
 bersama oov  	 bareng-bareng oov
 begitu oov  	 begitu oov
 dong iv  	 dong iv
 . iv  	 . iv
 benar iv  	 berani iv
 . iv  	 . iv
 saya oov  	 saya oov
 sih iv  	 sih iv
 benar-benar oov  	 berani-berani oov
 saja oov  	 saja oov
 jadi iv  	 jadi iv
 langsung iv  	 penanggung iv
 jawab iv  	 jawab iv
 , iv  	 , iv
 tapi iv  	 tapi iv
 saya oov  	 saya oov
 mau iv  	 mau iv
 sebenarnya iv  	 sebar iv
 dulu iv  	 dulu iv
 ke iv  	 ke iv
 anak iv  	 anak iv
 the not iv  	 cowoknya oov
 , iv  	 , iv
 siapa iv  	 siapa iv
 yang oov  	 yang oov
 benar iv  	 berani iv
 . iv  	 . iv
 kedua iv  	 ketua iv
 sangat oov  	 angkatan iv
 no iv  	 no iv
 the stories iv  	 reponse iv
 dari oov  	 dari oov
 awal iv  	 awal iv
 indonesia iv  	 ditanya iv
 . iv  	 . iv
 yang iv  	 yang iv
 dengan iv  	 tertua iv
 juga oov  	 juga oov
 tidak oov  	 tidak oov
 bisa iv  	 bisa iv
 kasih oov  	 kasih oov
 jakarta iv  	 jawaban iv
 . iv  	 . iv
 so iv  	 so iv
 , iv  	 , iv
 i iv  	 i iv
 was iv  	 was iv
 really iv  	 really iv
 dengan iv  	 glad iv
 when iv  	 when iv
 you iv  	 you iv
 what iv  	 gave iv
 " iv  	 " iv
 oov  	 yaudah iv
 " iv  	 " iv
 anak iv  	 answer iv
 . iv  	 . iv
 we iv  	 we are oov
 not iv  	 not iv
 that iv  	 that iv
 close iv  	 close iv
 untuk iv  	 untuk iv
 ingin iv  	 pergi iv
 bersama oov  	 bareng iv
 . iv  	 . iv
 baru iv  	 baru iv
 kenal iv  	 kenal iv
 bersama iv  	 berapa oov
 lama iv  	 lama iv
 saja oov  	 saja oov
 sudah oov  	 sudah oov
 menangis oov  	 ajak-ajak oov
 ingin iv  	 pergi iv
 . iv  	 . iv
 tidak oov  	 tidak oov
 suka iv  	 suka iv
 sangat oov  	 sangat oov
 doi iv  	 woii oov
 . iv  	 . iv
 sudah oov  	 sudah oov
 begitu oov  	 begitu oov
 dengan oov  	 ngebet iv
 sangat oov  	 sangat oov
 lagi iv  	 pula iv
 eh iv  	 eh iv
 benar oov  	 benar oov
 dia iv  	 dia iv
 tuh iv  	 tuh iv
 ada iv  	 ada iv
 something iv  	 something iv
 sama iv  	 sama iv
 aku oov  	 aku oov
 dulu iv  	 dulu iv
 tuh iv  	 tuh iv
 ya iv  	 ya iv
 dengan iv  	 gallery oov
 sampai oov  	 sampai oov
 tahun iv  	 penuh iv
 sama iv  	 sama iv
 foto iv  	 foto-foto oov
 do iv  	 hd iv
 dari iv  	 dari iv
 twitter iv  	 twitter iv
 that is oov  	 that is oov
 why iv  	 why iv
 selalu iv  	 selalu iv
 malas oov  	 malas oov
 ke iv  	 ke iv
 cuma iv  	 cs iv
 anak iv  	 bank iv
 . iv  	 . iv
 banyak iv  	 maunya iv
 cuma iv  	 cuma iv
 ganti iv  	 ganti iv
 kartu iv  	 kartu iv
 / iv  	 / iv
 but iv  	 buka iv
 , iv  	 m-banking iv
 malah iv  	 malah iv
 tidak oov  	 ditawarin iv
 untuk iv  	 unitlink iv
 ini iv  	 ini iv
 itu iv  	 itu iv
 stop iv  	 stop iv
 not iv  	 panggil iv
 dia iv  	 dia iv
 sebelum iv  	 buluk iv
 ! iv  	 ! iv
 please iv  	 please oov
 lah iv  	 lah oov
 . iv  	 . iv
 dengan iv  	 seganteng iv
 ini iv  	 ini iv
 pada iv  	 pada iv
 not iv  	 panggil iv
 dia iv  	 dia iv
 sebelum iv  	 buluk iv
 lah iv  	 lah iv
 , iv  	 , iv
 not iv  	 malika iv
 lah iv  	 lah iv
 , iv  	 , iv
 dengan iv  	 hello oov
 . iv  	 . iv
 there is oov  	 where is oov
 your iv  	 your iv
 eyes iv  	 eyes iv
 ? iv  	 ? iv
 his iv  	 his iv
 dengan iv  	 talented iv
 mau iv  	 boy iv
 sekarang iv  	 sekarang iv
 baca iv  	 baca iv
 not iv  	 konten iv
 not iv  	 tumblr iv
 kok iv  	 kok iv
 cannot oov  	 cannot oov
 relate iv  	 relate iv
 ya iv  	 ya oov
 guys iv  	 guys iv
 please iv  	 please iv
 iv  	 tell iv
 me iv  	 me iv
 cause oov  	 skz iv
 benar oov  	 benaran oov
 mau iv  	 mau iv
 ke iv  	 ke iv
 indonesia oov  	 indo iv
 lagi iv  	 lagi iv
 ? iv  	 ? iv
 never iv  	 never iv
 ketawa iv  	 ketawa iv
 begini iv  	 using iv
 " iv  	 " iv
 saya iv  	 wkwkwkwk iv
 " iv  	 " iv
 because iv  	 because iv
 ada iv  	 ada iv
 mbak oov  	 mbak-mbak oov
 is iv  	 which iv
 tidak oov  	 tidak oov
 like iv  	 like iv
 oke iv  	 quotes iv
 of iv  	 of iv
 the iv  	 the iv
 day iv  	 day iv
 by iv  	 by iv
 anak iv  	 anak iv
 jakarta oov  	 jaksel iv
 when iv  	 when iv
 hari iv  	 hari iv
 ini iv  	 ini iv
 kasih iv  	 kamis iv
 dan iv  	 dan iv
 di iv  	 di iv
 kantor iv  	 kantor iv
 not iv  	 batik iv
 day iv  	 day iv
 . iv  	 . iv
 dan iv  	 dan iv
 tak iv  	 tak iv
 as iv  	 sengaja iv
 ada iv  	 ada iv
 orang iv  	 orang iv
 yang oov  	 yang oov
 sama iv  	 sama iv
 perlu iv  	 persis iv
 bulan iv  	 baju iv
 the stories oov  	 batiknya iv
 , iv  	 , iv
 it is iv  	 fix oov
 langsung iv  	 langsung iv
 pakai oov  	 pakai oov
 jakarta iv  	 jaket iv
 doi iv  	 doi iv
 the stories oov  	 representasi iv
 dari iv  	 dari iv
 cinta iv  	 cinta iv
 , iv  	 , iv
 the stories oov  	 loyalitas iv
 dan iv  	 dan iv
 not iv  	 kebodohan iv
 . iv  	 . iv
 too iv  	 too iv
 tahun iv  	 much iv
 going iv  	 pain iv
 . iv  	 . iv
 tapi iv  	 tapi iv
 tetap oov  	 tetap oov
 bertahan iv  	 bertahan iv
 . iv  	 . iv
 well iv  	 well iv
 . iv  	 . iv
 i am oov  	 i am oov
 still iv  	 still iv
 love iv  	 love iv
 they are oov  	 they iv
 way iv  	 way iv
 he iv  	 he iv
 the iv  	 act iv
 btw iv  	 btw iv
 . iv  	 . iv
 orang iv  	 curiga iv
 saya iv  	 saya iv
 tahun iv  	 menuju iv
 3 iv  	 kepada iv
 sekarang iv  	 kepentingan iv
 yang iv  	 yang iv
 coba iv  	 coba iv
 not iv  	 dipetik iv
 oleh iv  	 oleh iv
 masyarakat iv  	 masyarakat iv
 the iv  	 well-educated iv
 pada iv  	 pada iv
 tetap oov  	 kesempatan iv
 please iv  	 pesta iv
 yang iv  	 yang iv
 the stories oov  	 budayanya iv
 not iv  	 gemar iv
 kasih iv  	 menghambur-hamburkan iv
 adalah iv  	 harta iv
 btw iv  	 btw iv
 saya iv  	 saya iv
 naik iv  	 naik iv
 jakarta oov  	 tj iv
 pas iv  	 pas iv
 makan iv  	 makan iv
 hehe iv  	 hehe iv
 kalau oov  	 kalau oov
 di iv  	 di iv
 the stories iv  	 singapura iv
 rasanya iv  	 namanya iv
 that is iv  	 trans iv
 the stories iv  	 singapura iv
 apa iv  	 apa iv
 gimana iv  	 gimana iv
